tconst,primaryTitle,isAdult,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0053125,North by Northwest,0,1959,136,"Action,Adventure,Mystery",8.3,339958
tt0053198,The 400 Blows,0,1959,99,"Crime,Drama",8.1,125042
tt0053221,Rio Bravo,0,1959,141,"Drama,Western",8.0,66609
tt0053291,Some Like It Hot,0,1959,121,"Comedy,Music,Romance",8.2,278098
tt0053604,The Apartment,0,1960,125,"Comedy,Drama,Romance",8.3,191263
tt0053779,La Dolce Vita,0,1960,174,"Comedy,Drama",8.0,76732
tt0053946,Inherit the Wind,0,1960,128,"Biography,Drama,History",8.1,32081
tt0053976,The Virgin Spring,0,1960,89,Drama,8.0,30973
tt0054215,Psycho,0,1960,109,"Horror,Mystery,Thriller",8.5,703248
tt0054997,The Hustler,0,1961,134,"Drama,Sport",8.0,85458
tt0055031,Judgment at Nuremberg,0,1961,179,"Drama,War",8.3,82441
tt0055601,Viridiana,0,1961,91,Drama,8.1,25685
tt0055630,Yojimbo,0,1961,110,"Action,Drama,Thriller",8.2,128543
tt0056058,Harakiri,0,1962,133,"Action,Drama,Mystery",8.6,64669
tt0056111,Ivan's Childhood,0,1962,95,"Drama,War",8.0,38921
tt0056172,Lawrence of Arabia,0,1962,218,"Adventure,Biography,Drama",8.3,307115
tt0056217,The Man Who Shot Liberty Valance,0,1962,123,"Drama,Western",8.1,80490
tt0056443,Sanjuro,0,1962,96,"Action,Drama,Thriller",8.0,40256
tt0056592,To Kill a Mockingbird,0,1962,129,"Crime,Drama",8.3,327386
tt0056687,What Ever Happened to Baby Jane?,0,1962,134,"Drama,Horror,Thriller",8.0,60250
tt0056732,The Exterminating Angel,0,1962,95,"Drama,Fantasy",8.0,34861
tt0056801,8½,0,1963,138,Drama,8.0,123066
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,0,1964,95,"Comedy,War",8.4,508625
tt0057115,The Great Escape,0,1963,172,"Adventure,Drama,History",8.2,254078
tt0057358,Winter Light,0,1963,81,Drama,8.0,26469
tt0057565,High and Low,0,1963,143,"Crime,Drama,Mystery",8.4,50360
tt0058946,The Battle of Algiers,0,1966,121,"Drama,War",8.1,64018
tt0059578,For a Few Dollars More,0,1965,132,"Drama,Western",8.2,268371
tt0059742,The Sound of Music,0,1965,172,"Biography,Drama,Family",8.1,250853
tt0060107,Andrei Rublev,0,1966,205,"Biography,Drama,History",8.1,56016
tt0060196,"The Good, the Bad and the Ugly",0,1966,161,"Adventure,Western",8.8,793171
tt0060827,Persona,0,1966,85,"Drama,Thriller",8.1,127570
tt0061184,Who's Afraid of Virginia Woolf?,0,1966,131,Drama,8.0,78650
tt0061512,Cool Hand Luke,0,1967,127,"Crime,Drama",8.1,185298
tt0061722,The Graduate,0,1967,106,"Comedy,Drama,Romance",8.0,284295
tt0062229,Le Samouraï,0,1967,105,"Crime,Drama,Thriller",8.0,55060
tt0062622,2001: A Space Odyssey,0,1968,149,"Adventure,Sci-Fi",8.3,702115
tt0063442,Planet of the Apes,0,1968,112,"Adventure,Sci-Fi",8.0,188395
tt0063522,Rosemary's Baby,0,1968,137,"Drama,Horror",8.0,229604
tt0064115,Butch Cassidy and the Sundance Kid,0,1969,110,"Biography,Crime,Drama",8.0,223563
tt0064116,Once Upon a Time in the West,0,1968,166,Western,8.5,342981
tt0065234,Z,0,1969,127,"Crime,Drama,Thriller",8.2,30657
tt0066763,Anand,0,1971,122,"Drama,Musical",8.1,34843
tt0066921,A Clockwork Orange,0,1971,136,"Crime,Sci-Fi",8.3,863751
tt0067093,Fiddler on the Roof,0,1971,181,"Drama,Family,Musical",8.0,46336
tt0067328,The Last Picture Show,0,1971,118,"Drama,Romance",8.0,51226
tt0068646,The Godfather,0,1972,175,"Crime,Drama",9.2,1961487
tt0069281,Sleuth,0,1972,138,"Mystery,Thriller",8.0,49454
tt0069293,Solaris,0,1972,167,"Drama,Mystery,Sci-Fi",8.0,96181
tt0069467,Cries & Whispers,0,1972,91,Drama,8.0,36157
tt0070047,The Exorcist,0,1973,122,Horror,8.1,442453
tt0070510,Paper Moon,0,1973,102,"Comedy,Crime,Drama",8.1,51012
tt0070511,Papillon,0,1973,151,"Biography,Crime,Drama",8.0,136195
tt0070735,The Sting,0,1973,129,"Comedy,Crime,Drama",8.3,273912
tt0071315,Chinatown,0,1974,130,"Drama,Mystery,Thriller",8.2,341673
tt0071411,Dersu Uzala,0,1975,142,"Adventure,Biography,Drama",8.2,32635
tt0071562,The Godfather Part II,0,1974,202,"Crime,Drama",9.0,1331746
tt0071853,Monty Python and the Holy Grail,0,1975,91,"Adventure,Comedy,Fantasy",8.2,560553
tt0072417,A Woman Under the Influence,0,1974,155,"Drama,Romance",8.1,27727
tt0072431,Young Frankenstein,0,1974,106,Comedy,8.0,166089
tt0072443,Mirror,0,1975,107,"Biography,Drama",8.0,50580
tt0072684,Barry Lyndon,0,1975,185,"Adventure,Drama,War",8.1,178107
tt0072890,Dog Day Afternoon,0,1975,125,"Biography,Crime,Drama",8.0,268652
tt0073195,Jaws,0,1975,124,"Adventure,Mystery,Thriller",8.1,643869
tt0073486,One Flew Over the Cuckoo's Nest,0,1975,133,Drama,8.7,1048377
tt0073707,Sholay,0,1975,204,"Action,Adventure,Comedy",8.1,57892
tt0074896,The Message,0,1976,177,"Biography,Drama,History",8.1,49836
tt0074958,Network,0,1976,121,Drama,8.1,166506
tt0075148,Rocky,0,1976,120,"Drama,Sport",8.1,612973
tt0075314,Taxi Driver,0,1976,114,"Crime,Drama",8.2,891926
tt0075686,Annie Hall,0,1977,93,"Comedy,Romance",8.0,273650
tt0076759,Star Wars: Episode IV - A New Hope,0,1977,121,"Action,Adventure,Fantasy",8.6,1419925
tt0077416,The Deer Hunter,0,1978,183,"Drama,War",8.1,354186
tt0077711,Autumn Sonata,0,1978,99,"Drama,Music",8.1,36805
tt0078748,Alien,0,1979,117,"Horror,Sci-Fi",8.5,925147
tt0078788,Apocalypse Now,0,1979,147,"Drama,Mystery,War",8.4,695155
tt0079470,Life of Brian,0,1979,94,Comedy,8.0,416189
tt0079944,Stalker,0,1979,162,"Drama,Sci-Fi",8.1,141157
tt0080455,The Blues Brothers,0,1980,133,"Action,Adventure,Comedy",7.9,209353
tt0080678,The Elephant Man,0,1980,124,"Biography,Drama",8.2,253069
tt0080684,Star Wars: Episode V - The Empire Strikes Back,0,1980,124,"Action,Adventure,Fantasy",8.7,1348651
tt0081398,Raging Bull,0,1980,129,"Biography,Drama,Sport",8.1,371283
tt0081505,The Shining,0,1980,146,"Drama,Horror",8.4,1078421
tt0082096,Das Boot,0,1981,149,"Drama,War",8.4,259847
tt0082971,Raiders of the Lost Ark,0,1981,115,"Action,Adventure",8.4,1017145
tt0083658,Blade Runner,0,1982,117,"Action,Drama,Sci-Fi",8.1,804170
tt0083866,E.T. the Extra-Terrestrial,0,1982,115,"Adventure,Family,Sci-Fi",7.9,428498
tt0083922,Fanny and Alexander,0,1982,188,Drama,8.1,66260
tt0083946,Fitzcarraldo,0,1982,158,"Adventure,Drama",8.0,37461
tt0083987,Gandhi,0,1982,191,"Biography,Drama,History",8.0,237943
